Sentence #,Word,Tag
Sentence: 1,فحري,c
,بكل,i
,هذا,c
,أن,c
,يكون,c
Sentence: 2,فحري,c
,به,c
,مع,c
,كل,c
,هذا,c
,أن,c
,يكون,c
Sentence: 3,فحريا,i
,به,c
,مع,c
,كل,c
,هذا,c
,أن,c
,يكون,c
Sentence: 4,فيه,c
,تسعين,i
,ألف,c
,ريال,c
Sentence: 5,هناك,c
,قضايا,c
,مشتركة,c
,بينهما,c
,سواء,c
,اقتصادي,c
,أم,c
,سياسي,c
,أم,c
,اجتماعي,c
,أم,c
,ديني,c
,أم,c
,ثقافي,c
Sentence: 6,هناك,c
,قضايا,c
,مشتركة,c
,بينهما,c
,سواء,c
,اقتصاديا,i
,أم,c
,سياسا,i
,أم,c
,اجتماعيا,i
,أم,c
,ودينيا,i
,أم,c
,ثقافيا,i
Sentence: 7,هناك,c
,قضايا,c
,مشتركة,c
,بينهما,c
,سواء,c
,اقتصادي,c
,أو,i
,سياسي,c
,أم,c
,اجتماعي,c
,و,i
,ديني,c
,و,i
,ثقافي,c
Sentence: 8,أما,c
,الذاهبين,i
,و,c
,العائدون,c
Sentence: 9,أما,c
,الذاهبون,c
,و,c
,العائدين,i
Sentence: 10,فأهليكم,i
,يقتلون,c
Sentence: 11,و,c
,كذلك,c
,المعلمين,i
Sentence: 12,هل,c
,ما,c
,ينادي,c
,به,c
,صاحبي,c
,صحيحا,i
Sentence: 13,و,c
,مذاق,c
,الكراث,c
,قريبا,i
,من,c
,مذاق,c
,البصل,c
Sentence: 14,و,c
,أصبح,c
,لأهل,c
,الرياض,c
,متنفسا,i
Sentence: 15,ليس,c
,هناك,c
,مسار,c
,وحيدا,i
Sentence: 16,ليس,c
,هناك,c
,مسارا,i
,وحيد,c
Sentence: 17,و,c
,لم,c
,يكن,c
,هناك,c
,سخطا,i
,علني,c
,ضخم,c
Sentence: 18,و,c
,لم,c
,يكن,c
,هناك,c
,سخط,c
,علنيا,i
,ضخم,c
Sentence: 19,و,c
,لم,c
,يكن,c
,هناك,c
,سخط,c
,علني,c
,ضخما,i
Sentence: 20,بأن,c
,يكون,c
,هناك,c
,مؤتمرا,i
,أولي,c
Sentence: 21,بأن,c
,يكون,c
,هناك,c
,مؤتمر,c
,أوليا,i
Sentence: 22,إن,c
,التخطيط,c
,ركنا,i
,أساسي,c
Sentence: 23,إن,c
,التخطيط,c
,ركن,i
,أساسيا,c
Sentence: 24,لأن,c
,من,c
,تولى,c
,همومنا,c
,بعيدا,i
Sentence: 25,بأنك,c
,أهلا,i
Sentence: 26,أن,c
,الفكر,c
,بعيدا,i
Sentence: 27,حيث,c
,أنهما,c
,شريكان,c
,أستراتيجيين,i
Sentence: 28,حيث,c
,أنهما,c
,شريكين,i
,أستراتيجيان,c
Sentence: 29,وما,c
,زال,c
,هناك,c
,اهتماما,i
Sentence: 30,بأنها,c
,معلم,c
,ناجحا,i
Sentence: 31,بأنها,c
,معلما,i
,ناجح,c
Sentence: 32,مشرا,c
,إلى,c
,أن,c
,ذلك,c
,خير,c
,موقف,c
,يحتذى,c
,به,c
,مثال,c
,صادقا,i
Sentence: 33,مشيرا,c
,إلى,c
,أن,c
,ذلك,c
,خير,c
,موقف,c
,يحتذى,c
,به,c
,مثالا,i
,صادق,c
Sentence: 34,ما,c
,بقيت,c
,بيني,c
,و,c
,بينك,c
,أبحارَ,i
Sentence: 35,ينتمي,c
,إليها,c
,المتورطين,i
Sentence: 36,يستفيد,c
,المستثمرين,i
Sentence: 37,و,c
,قد,c
,تكللت,c
,العمليتين,i
Sentence: 38,سيتمكن,c
,المتقدمين,i
Sentence: 39,يعتقد,c
,موظفيه,i
,أنهم,c
Sentence: 40,فلم,c
,يجد,c
,الموظفين,i
,ما,c
,يستحق,c
Sentence: 41,يشرف,c
,فنيين,i
Sentence: 42,خرج,c
,مغذيين,i
,في,c
,وقت,c
Sentence: 43,لا,c
,يكاد,c
,يمر,c
,يوما,i
Sentence: 44,لا,c
,يجوز,c
,إعفاءه,i
Sentence: 45,أن,c
,تطبق,c
,عقوبتي,i
,الجلد,c
,و,c
,السجن,c
Sentence: 46,خمسة,c
,من,c
,الحوثيين,c
,قتلوا,c
,و,c
,جرح,c
,آخرين,i
Sentence: 47,عقد,c
,في,c
,تركيا,c
,مؤتمرا,i
,طبي,c
Sentence: 48,عقد,c
,في,c
,تركيا,c
,مؤتمر,c
,طبيا,i
Sentence: 49,تقدم,c
,المهندسون,c
,و,c
,مسؤولي,i
Sentence: 50,اعترف,c
,المفاوضون,c
,الأمريكيين,i
Sentence: 51,و,c
,أوضحت,c
,رايت,c
,و,c
,زملاؤها,c
,المهندسين,i
Sentence: 52,اتخذها,c
,الباعة,c
,الجائلين,i
Sentence: 53,و,c
,استمروا,c
,و,c
,راهن,c
,الأعداء,c
,و,c
,الحاقدين,i
Sentence: 54,و,c
,استمروا,c
,و,c
,راهنوا,i
,الأعداء,c
,و,c
,الحاقدون,c
Sentence: 55,و,c
,أخطائهم,i
,أسهمت,c
Sentence: 56,و,c
,إعطائه,i
,في,c
,الحال,c
,شراب,i
,أو,c
