Sentence #,Word,Tag
Sentence: 1,فحريا,i
,بكل,i
,هذا,c
,أن,c
,يكون,c
Sentence: 2,فيه,c
,تسعين,i
,ألف,c
,ريال,c
Sentence: 3,هناك,c
,قضايا,c
,مشتركة,c
,بينهما,c
,سواء,c
,اقتصاديا,i
,أو,i
,سياسا,i
,أم,c
,اجتماعيا,i
,و,i
,دينيا,i
,و,i
,ثقافيا,i
Sentence: 4,أما,c
,الذاهبين,i
,و,c
,العائدين,i
Sentence: 5,فأهليكم,i
,يقتلون,c
Sentence: 6,و,c
,كذلك,c
,المعلمين,i
Sentence: 7,هل,c
,ما,c
,ينادي,c
,به,c
,صاحبي,c
,صحيحا,i
Sentence: 8,و,c
,مذاق,c
,الكراث,c
,قريبا,i
,من,c
,مذاق,c
,البصل,c
Sentence: 9,و,c
,أصبح,c
,لأهل,c
,الرياض,c
,متنفسا,i
Sentence: 10,ليس,c
,هناك,c
,مسارا,i
,وحيدا,i
Sentence: 11,و,c
,لم,c
,يكن,c
,هناك,c
,سخطا,i
,علنيا,i
,ضخما,i
Sentence: 12,بأن,c
,يكون,c
,هناك,c
,مؤتمرا,i
,أوليا,i
Sentence: 13,إن,c
,التخطيط,c
,ركنا,i
,أساسيا,i
Sentence: 14,لأن,c
,من,c
,تولى,c
,همومنا,c
,بعيدا,i
Sentence: 15,بأنك,c
,أهلا,i
Sentence: 16,أن,c
,الفكر,c
,بعيدا,i
Sentence: 17,حيث,c
,أنهما,c
,شريكين,i
,أستراتيجيين,i
Sentence: 18,وما,c
,زال,c
,هناك,c
,اهتماما,i
Sentence: 19,بأنها,c
,معلما,i
,ناجحا,i
Sentence: 20,مشيرا,c
,إلى,c
,أن,c
,ذلك,c
,خير,c
,موقف,c
,يحتذى,c
,به,c
,مثالا,i
,صادقا,i
Sentence: 21,ما,c
,بقيت,c
,بيني,c
,و,c
,بينك,c
,أبحارَ,i
Sentence: 22,ينتمي,c
,إليها,c
,المتورطين,i
Sentence: 23,يستفيد,c
,المستثمرين,i
Sentence: 24,و,c
,قد,c
,تكللت,c
,العمليتين,i
Sentence: 25,سيتمكن,c
,المتقدمين,i
Sentence: 26,يعتقد,c
,موظفيه,i
,أنهم,c
Sentence: 27,فلم,c
,يجد,c
,الموظفين,i
,ما,c
,يستحق,c
Sentence: 28,يشرف,c
,فنيين,i
Sentence: 29,خرج,c
,مغذيين,i
,في,c
,وقت,c
Sentence: 30,لا,c
,يكاد,c
,يمر,c
,يوما,i
Sentence: 31,لا,c
,يجوز,c
,إعفاءه,i
Sentence: 32,أن,c
,تطبق,c
,عقوبتي,i
,الجلد,c
,و,c
,السجن,c
Sentence: 33,خمسة,c
,من,c
,الحوثيين,c
,قتلوا,c
